Midtpunkt,Bredde,Antall
11.25,0.5,1
11.75,0.5,0
12.25,0.5,4
12.75,0.5,1
13.25,0.5,7
13.75,0.5,7
14.25,0.5,7
14.75,0.5,1
15.25,0.5,1
15.75,0.5,1
