Midtpunkt,Bredde,Antall
8.75,0.5,1
9.25,0.5,1
9.75,0.5,8
10.25,0.5,5
10.75,0.5,7
11.25,0.5,5
11.75,0.5,3
12.25,0.5,0
12.75,0.5,0
13.25,0.5,0
